prompt_id,category,subtype,prompt,expected,n_tok,n_interior,task_ok,top1_prob,top1_token,next_token_entropy,mean_token_logid
p0000,factual_recall,capital_short,Fact: The capital of France is,Paris,8,6,True,0.4055372476577759, Paris,2.7702419757843018,7.503238788231659
p0001,factual_recall,capital_med,"They visited the capital of France, which is",Paris,10,8,False,0.12780101597309113, also,3.573744297027588,7.487155099022566
p0002,factual_recall,capital_long,"When travelling abroad last year they visited the capital of France, which is",Paris,15,13,False,0.13603146374225616, also,3.7202649116516113,7.770735561035879
p0003,factual_recall,capital_short,Fact: The capital of Japan is,Tokyo,8,6,True,0.6174440383911133, Tokyo,2.090878486633301,7.500054035165416
p0004,factual_recall,capital_med,"They visited the capital of Japan, which is",Tokyo,10,8,True,0.16328579187393188, Tokyo,3.548189640045166,7.484607296569571
p0005,factual_recall,capital_long,"When travelling abroad last year they visited the capital of Japan, which is",Tokyo,15,13,True,0.1903454214334488, Tokyo,3.569204330444336,7.769037026067218
p0006,factual_recall,capital_short,Fact: The capital of Italy is,Rome,8,6,True,0.5273703336715698, Rome,2.406466484069824,7.582593434068088
p0007,factual_recall,capital_med,"They visited the capital of Italy, which is",Rome,10,8,False,0.11158298701047897, the,3.6108932495117188,7.55063881569171
p0008,factual_recall,capital_long,"When travelling abroad last year they visited the capital of Italy, which is",Rome,15,13,False,0.12460602074861526, also,3.7101616859436035,7.813058038815309
p0009,factual_recall,capital_short,Fact: The capital of Egypt is,Cairo,8,6,True,0.5377920269966125, Cairo,2.4211668968200684,7.654893278006856
p0010,factual_recall,capital_med,"They visited the capital of Egypt, which is",Cairo,10,8,True,0.14268967509269714, Cairo,3.550663471221924,7.608478690842723
p0011,factual_recall,capital_long,"When travelling abroad last year they visited the capital of Egypt, which is",Cairo,15,13,True,0.28034844994544983, Cairo,3.3653385639190674,7.851617955582651
p0012,factual_recall,capital_short,Fact: The capital of Brazil is,Brasilia,8,6,False,0.17456181347370148, Rio,3.2624857425689697,7.648398636447279
p0013,factual_recall,capital_med,"They visited the capital of Brazil, which is",Brasilia,10,8,False,0.12260226905345917, the,3.6919164657592773,7.603282977595062
p0014,factual_recall,capital_long,"When travelling abroad last year they visited the capital of Brazil, which is",Brasilia,15,13,False,0.11122114211320877, also,3.7179248332977295,7.848154146750877
